4	112	88	2395	18	82	0	0	0	0	1
8	350	145	4440	14	75	0	0	1	0	0
4	119	97	2545	17	75	1	0	0	1	0
4	81	60	1760	16,1	81	1	0	0	0	1
6	250	105	3897	18,5	75	0	0	1	0	0
6	146	120	2930	13,8	81	1	0	0	1	0
4	135	84	2370	13	82	0	0	0	0	1
6	163	133	3410	15,8	78	0	1	1	0	0
4	116	81	2220	16,9	76	0	1	0	1	0
4	105	63	2125	14,7	82	0	0	0	0	1
8	260	110	4060	19	77	0	0	1	0	0
4	156	92	2620	14,4	81	0	0	0	1	0
8	305	130	3840	15,4	79	0	0	1	0	0
4	140	88	2870	18,1	80	0	0	0	1	0
6	250	110	3520	16,4	77	0	0	1	0	0
4	97	60	1834	19	71	0	1	0	1	0
6	258	95	3193	17,8	76	0	0	1	0	0
4	134	95	2560	14,2	78	1	0	0	1	0
4	121	112	2933	14,5	72	0	1	1	0	0
4	97	75	2171	16	75	1	0	0	1	0
6	225	105	3613	16,5	74	0	0	1	0	0
4	97	78	1940	14,5	77	0	1	0	1	0
4	121	112	2868	15,5	73	0	1	1	0	0
4	98	83	2219	16,5	74	0	1	0	1	0
6	225	95	3264	16	75	0	0	1	0	0
6	200	85	2990	18,2	79	0	0	1	0	0
4	135	84	2370	13	82	0	0	1	0	0
4	105	63	2125	14,7	82	0	0	1	0	0
